ZIP_CODE,FirstDose,SecondDose,SingleDose,AtleastOneDose,FullyVaccinated,length,is_md
20906,55219,49437,2430,57649,51867,5,yes
20878,51455,46192,3384,54839,49576,5,yes
20874,44995,40386,3401,48396,43787,5,yes
21234,42914,39451,2995,45909,42446,5,yes
20904,42824,38176,1661,44485,39837,5,yes
20854,42163,36842,2121,44284,38963,5,yes
20850,40199,36022,2515,42714,38537,5,yes
21122,37607,34616,3124,40731,37740,5,yes
21117,38631,35239,2356,40987,37595,5,yes
20902,39720,35171,1916,41636,37087,5,yes
21043,38147,34653,2149,40296,36802,5,yes
21228,36733,33864,2518,39251,36382,5,yes
21042,35776,32410,1993,37769,34403,5,yes
21224,34240,30480,3477,37717,33957,5,yes
20852,36282,31967,1889,38171,33856,5,yes
21044,33242,30397,1764,35006,32161,5,yes
21061,32683,29532,2607,35290,32139,5,yes
20774,34023,30216,1519,35542,31735,5,yes
21222,30679,27829,3497,34176,31326,5,yes
21093,31038,28471,1883,32921,30354,5,yes
21215,31626,28005,2009,33635,30014,5,yes
21740,27805,25029,4727,32532,29756,5,yes
20772,31494,28196,1413,32907,29609,5,yes
20910,31480,27816,1646,33126,29462,5,yes
21045,29993,27299,1704,31697,29003,5,yes
